"Approach" "NbVarSelected" "NbVarInf" "Accuracy_selection" "Specificity_selection" "Sensitivity_selection" "MCC_selection" "Accuracy_test" "Specificity_test" "Sensitivity_test" "MCC_test" "AUC" "Youden" "YoudenSensitivity" "YoudenSpecificity" "TPR" "TNR" "MAE" "Runtime" "TrainingTime" "TestTime" "VarSelected"
"20" "STEP" 5 3 0.92 0.909090909090909 1 0.738548945875996 0.853 0.835341365461847 0.870517928286853 0.706363825775098 0.85292964687435 0.52712488815987 0.861553784860558 0.854417670682731 0.870517928286853 0.835341365461847 0.201745488002976 1.33 0.0600000000000023 0.00999999999999801 "x1;x2;x3;Noise7;Noise13"
"21" "SU" 1 1 0.92 1 0.333333333333333 0.552770798392567 0.7635 0.761044176706827 0.76593625498008 0.526989127218373 0.763490215843453 0.469050083342541 0.799800796812749 0.744979919678715 0.76593625498008 0.761044176706827 0.313260845355862 0.160000000000004 0.0500000000000043 0 "x1"
"22" "SVM-RFE" 4 3 0.96 0.954545454545455 1 0.846114112226649 0.8565 0.842369477911647 0.870517928286853 0.713224489818104 0.85644370309925 0.463903640447116 0.890438247011952 0.829317269076305 0.870517928286853 0.842369477911647 0.201653520318077 24.87 0.0500000000000114 0 "Noise11;x1;x2;x3"
"23" "CFS" 2 2 0.96 1 0.666666666666667 0.798549409504691 0.8485 0.856856856856857 0.84015984015984 0.697105583734399 0.848508348508348 0.507479913640475 0.837162837162837 0.862862862862863 0.84015984015984 0.856856856856857 0.214567168540916 0.189999999999998 0.039999999999992 0.00999999999999091 "x1;x2"
"24" "CHI2" 2 2 0.96 1 0.666666666666667 0.798549409504691 0.8485 0.856856856856857 0.84015984015984 0.697105583734399 0.848508348508348 0.507479913640475 0.837162837162837 0.862862862862863 0.84015984015984 0.856856856856857 0.214567168540916 0.140000000000001 0.0499999999999972 0 "x1;x2"
"25" "FULL" 25 3 0.12 0 1 0 0.846 0.851851851851852 0.84015984015984 0.692053216491978 0.846005846005846 0.448544726789915 0.859140859140859 0.83983983983984 0.84015984015984 0.851851851851852 0.207954117836277 0 0.0800000000000125 0.0300000000000011 "x1;x2;x3;Noise1;Noise2;Noise3;Noise4;Noise5;Noise6;Noise7;Noise8;Noise9;Noise10;Noise11;Noise12;Noise13;Noise14;Noise15;Noise16;Noise17;Noise18;Noise19;Noise20;Noise21;Noise22"
"26" "GAMMA_BACK" 3 3 1 1 1 1 0.8475 0.851851851851852 0.843156843156843 0.695030588838971 0.847504347504348 0.580393184759551 0.819180819180819 0.88988988988989 0.843156843156843 0.851851851851852 0.208610294670802 6.09 0.0499999999999972 0.0100000000000051 "x1;x2;x3"
"27" "GAMMA_BF" 3 3 1 1 1 1 0.8475 0.851851851851852 0.843156843156843 0.695030588838971 0.847504347504348 0.580393184759551 0.819180819180819 0.88988988988989 0.843156843156843 0.851851851851852 0.208610294670802 0.279999999999987 0.0799999999999983 0.019999999999996 "x1;x2;x3"
"28" "GAMMA_FORW" 3 3 1 1 1 1 0.8475 0.851851851851852 0.843156843156843 0.695030588838971 0.847504347504348 0.580393184759551 0.819180819180819 0.88988988988989 0.843156843156843 0.851851851851852 0.208610294670802 0.320000000000007 0.0799999999999983 0 "x1;x2;x3"
"29" "LASSO" 5 2 0.84 0.863636363636364 0.666666666666667 0.430820218427665 0.6515 0.670670670670671 0.632367632367632 0.303257182303415 0.651519151519152 0.501933892929883 0.631368631368631 0.671671671671672 0.632367632367632 0.670670670670671 0.42797240673472 2.11 0.0599999999999881 0 "x2;x3;Noise1;Noise12;Noise13"
"30" "RFI" 2 2 0.96 1 0.666666666666667 0.798549409504691 0.8485 0.856856856856857 0.84015984015984 0.697105583734399 0.848508348508348 0.507479913640475 0.837162837162837 0.862862862862863 0.84015984015984 0.856856856856857 0.214567168540916 8.76000000000001 0.0600000000000023 0.0100000000000051 "x1;x2"
"31" "STEP" 6 3 0.88 0.863636363636364 1 0.657128740672771 0.8485 0.84984984984985 0.847152847152847 0.697003742510141 0.848501348501349 0.437274008200235 0.872127872127872 0.831831831831832 0.847152847152847 0.84984984984985 0.207747097365736 1.56 0.0500000000000114 0 "x1;x2;x3;Noise13;Noise12;Noise1"
"32" "SU" 1 1 0.92 1 0.333333333333333 0.552770798392567 0.767 0.758758758758759 0.775224775224775 0.534060444302366 0.766991766991767 0.520520437812728 0.76023976023976 0.783783783783784 0.775224775224775 0.758758758758759 0.316059072718331 0.140000000000001 0.0499999999999972 0.0200000000000102 "x1"
"33" "SVM-RFE" 5 3 0.92 0.909090909090909 1 0.738548945875996 0.848 0.84984984984985 0.846153846153846 0.696006480037968 0.848001848001848 0.599646389950527 0.807192807192807 0.892892892892893 0.846153846153846 0.84984984984985 0.207944245745119 25.16 0.0700000000000074 0 "Noise12;Noise13;x1;x2;x3"
"34" "CFS" 2 2 0.96 1 0.666666666666667 0.798549409504691 0.86 0.875739644970414 0.843813387423935 0.720117937107904 0.859776516197175 0.411205358701517 0.890466531440162 0.839250493096647 0.843813387423935 0.875739644970414 0.200381223746109 0.179999999999993 0.0400000000000063 0.019999999999996 "x1;x2"
"35" "CHI2" 2 2 0.96 1 0.666666666666667 0.798549409504691 0.86 0.875739644970414 0.843813387423935 0.720117937107904 0.859776516197175 0.411205358701517 0.890466531440162 0.839250493096647 0.843813387423935 0.875739644970414 0.200381223746109 0.129999999999995 0.0600000000000023 0.0200000000000102 "x1;x2"
"36" "FULL" 25 3 0.12 0 1 0 0.8545 0.875739644970414 0.832657200811359 0.709324366159242 0.854198422890887 0.436173565403647 0.87525354969574 0.847140039447732 0.832657200811359 0.875739644970414 0.193424615002182 0 0.0900000000000034 0.0100000000000051 "x1;x2;x3;Noise1;Noise2;Noise3;Noise4;Noise5;Noise6;Noise7;Noise8;Noise9;Noise10;Noise11;Noise12;Noise13;Noise14;Noise15;Noise16;Noise17;Noise18;Noise19;Noise20;Noise21;Noise22"
"37" "GAMMA_BACK" 3 3 1 1 1 1 0.867 0.883629191321499 0.849898580121704 0.734166900057477 0.866763885721601 0.497976524476901 0.851926977687627 0.883629191321499 0.849898580121704 0.883629191321499 0.193298268452503 5.16000000000001 0.0700000000000074 0 "x1;x2;x3"
"38" "GAMMA_BF" 3 3 1 1 1 1 0.867 0.883629191321499 0.849898580121704 0.734166900057477 0.866763885721601 0.497976524476901 0.851926977687627 0.883629191321499 0.849898580121704 0.883629191321499 0.193298268452503 0.299999999999997 0.0600000000000023 0 "x1;x2;x3"
"39" "GAMMA_FORW" 3 3 1 1 1 1 0.867 0.883629191321499 0.849898580121704 0.734166900057477 0.866763885721601 0.497976524476901 0.851926977687627 0.883629191321499 0.849898580121704 0.883629191321499 0.193298268452503 0.299999999999997 0.0899999999999892 0.0200000000000102 "x1;x2;x3"
"40" "LASSO" 3 3 1 1 1 1 0.867 0.883629191321499 0.849898580121704 0.734166900057477 0.866763885721601 0.497976524476901 0.851926977687627 0.883629191321499 0.849898580121704 0.883629191321499 0.193298268452503 2.16 0.0700000000000074 0.0100000000000051 "x1;x2;x3"
"41" "RFI" 2 2 0.96 1 0.666666666666667 0.798549409504691 0.86 0.875739644970414 0.843813387423935 0.720117937107904 0.859776516197175 0.411205358701517 0.890466531440162 0.839250493096647 0.843813387423935 0.875739644970414 0.200381223746109 8.90999999999998 0.039999999999992 0.00999999999999091 "x1;x2"
"42" "STEP" 5 3 0.92 0.909090909090909 1 0.738548945875996 0.8615 0.877712031558185 0.844827586206897 0.723137655494069 0.861269808882541 0.464833439163833 0.86105476673428 0.867850098619329 0.844827586206897 0.877712031558185 0.193575424843593 1.22999999999999 0.0499999999999829 0.0199999999999818 "x1;x2;x3;Noise19;Noise16"
"43" "SU" 1 1 0.92 1 0.333333333333333 0.552770798392567 0.778 0.773175542406312 0.782961460446247 0.556083610923782 0.778068501426279 0.503499243317469 0.781947261663286 0.776134122287968 0.782961460446247 0.773175542406312 0.306993865938888 0.25 0.0699999999999932 0.0100000000000193 "x1"
"44" "SVM-RFE" 3 3 1 1 1 1 0.867 0.883629191321499 0.849898580121704 0.734166900057477 0.866763885721601 0.497976524476901 0.851926977687627 0.883629191321499 0.849898580121704 0.883629191321499 0.193298268452503 22.97 0.0499999999999829 0.0199999999999818 "x1;x2;x3"
"45" "CFS" 1 1 0.92 1 0.333333333333333 0.552770798392567 0.7695 0.750515463917526 0.787378640776699 0.538408724699785 0.768947052347112 0.527205538743349 0.770873786407767 0.778350515463918 0.787378640776699 0.750515463917526 0.314535361769319 0.150000000000006 0.0499999999999829 0.0199999999999818 "x1"
"46" "CHI2" 1 1 0.92 1 0.333333333333333 0.552770798392567 0.7695 0.750515463917526 0.787378640776699 0.538408724699785 0.768947052347112 0.527205538743349 0.770873786407767 0.778350515463918 0.787378640776699 0.750515463917526 0.314535361769319 0.109999999999985 0.0600000000000023 0 "x1"
"47" "FULL" 25 3 0.12 0 1 0 0.8565 0.843298969072165 0.868932038834951 0.712698041993277 0.856115503953558 0.535389602505684 0.863106796116505 0.854639175257732 0.868932038834951 0.843298969072165 0.19748996110957 0 0.0799999999999841 0.0300000000000011 "x1;x2;x3;Noise1;Noise2;Noise3;Noise4;Noise5;Noise6;Noise7;Noise8;Noise9;Noise10;Noise11;Noise12;Noise13;Noise14;Noise15;Noise16;Noise17;Noise18;Noise19;Noise20;Noise21;Noise22"
"48" "GAMMA_BACK" 3 3 1 1 1 1 0.856 0.845360824742268 0.866019417475728 0.711688034960179 0.855690121108998 0.603044950365419 0.830097087378641 0.892783505154639 0.866019417475728 0.845360824742268 0.196931930229689 6.76000000000002 0.0699999999999932 0.0100000000000193 "x1;x2;x3"
"49" "GAMMA_BF" 3 3 1 1 1 1 0.856 0.845360824742268 0.866019417475728 0.711688034960179 0.855690121108998 0.603044950365419 0.830097087378641 0.892783505154639 0.866019417475728 0.845360824742268 0.196931930229689 0.300000000000011 0.0600000000000023 0 "x1;x2;x3"
