"Approach" "NbVarSelected" "NbVarInf" "Accuracy_selection" "Specificity_selection" "Sensitivity_selection" "MCC_selection" "Accuracy_test" "Specificity_test" "Sensitivity_test" "MCC_test" "AUC" "YoudenSpe" "YoudenSe" "Youden" "TPR" "TNR" "MAE" "Runtime" "TrainingTime" "TestTime" "VarSelected" "Separation" "Repartition" "NbVar"
"11" "SVM-RFE" 30 3 0.865 0.862944162436548 1 0.293759112613813 0.73 0.711111111111111 0.745454545454545 0.455737794313283 0.728282828282828 0.666666666666667 0.872727272727273 4.18197886629685e-05 0.745454545454545 0.711111111111111 0.267248004250107 9.75 0.0400000000008731 0 "Noise101;Noise109;Noise141;Noise144;Noise145;Noise146;Noise147;Noise149;Noise150;Noise152;Noise154;Noise155;Noise160;Noise168;Noise175;Noise177;Noise179;Noise2;Noise20;Noise28;Noise47;Noise73;Noise77;Noise83;Noise85;Noise96;Noise99;x1;x2;x3" "forte" "equilibre" 200
"12" "CFS" 4 2 0.985 0.989847715736041 0.666666666666667 0.570006691211454 0.84 0.875 0.795454545454545 0.674296723301679 0.835227272727273 0.839285714285714 0.886363636363636 0.350184163232538 0.795454545454545 0.875 0.181390871787165 3.33999999999651 0.0299999999988358 0 "x1;x2;Noise43;Noise67" "forte" "equilibre" 200
"13" "CHI2" 4 2 0.985 0.989847715736041 0.666666666666667 0.570006691211454 0.84 0.875 0.795454545454545 0.674296723301679 0.835227272727273 0.839285714285714 0.886363636363636 0.350184163232537 0.795454545454545 0.875 0.181390871787165 0.389999999999418 0.0500000000029104 0 "x1;x2;Noise67;Noise43" "forte" "equilibre" 200
"14" "FULL" 200 3 0.015 0 1 0 0.41 0.357142857142857 0.477272727272727 -0.166022961203729 0.582792207792208 0.571428571428571 0.636363636363636 0.999999997994203 0.477272727272727 0.357142857142857 0.593572598042955 0 0.139999999999418 0.0600000000049477 "x1;x2;x3;Noise1;Noise2;Noise3;Noise4;Noise5;Noise6;Noise7;Noise8;Noise9;Noise10;Noise11;Noise12;Noise13;Noise14;Noise15;Noise16;Noise17;Noise18;Noise19;Noise20;Noise21;Noise22;Noise23;Noise24;Noise25;Noise26;Noise27;Noise28;Noise29;Noise30;Noise31;Noise32;Noise33;Noise34;Noise35;Noise36;Noise37;Noise38;Noise39;Noise40;Noise41;Noise42;Noise43;Noise44;Noise45;Noise46;Noise47;Noise48;Noise49;Noise50;Noise51;Noise52;Noise53;Noise54;Noise55;Noise56;Noise57;Noise58;Noise59;Noise60;Noise61;Noise62;Noise63;Noise64;Noise65;Noise66;Noise67;Noise68;Noise69;Noise70;Noise71;Noise72;Noise73;Noise74;Noise75;Noise76;Noise77;Noise78;Noise79;Noise80;Noise81;Noise82;Noise83;Noise84;Noise85;Noise86;Noise87;Noise88;Noise89;Noise90;Noise91;Noise92;Noise93;Noise94;Noise95;Noise96;Noise97;Noise98;Noise99;Noise100;Noise101;Noise102;Noise103;Noise104;Noise105;Noise106;Noise107;Noise108;Noise109;Noise110;Noise111;Noise112;Noise113;Noise114;Noise115;Noise116;Noise117;Noise118;Noise119;Noise120;Noise121;Noise122;Noise123;Noise124;Noise125;Noise126;Noise127;Noise128;Noise129;Noise130;Noise131;Noise132;Noise133;Noise134;Noise135;Noise136;Noise137;Noise138;Noise139;Noise140;Noise141;Noise142;Noise143;Noise144;Noise145;Noise146;Noise147;Noise148;Noise149;Noise150;Noise151;Noise152;Noise153;Noise154;Noise155;Noise156;Noise157;Noise158;Noise159;Noise160;Noise161;Noise162;Noise163;Noise164;Noise165;Noise166;Noise167;Noise168;Noise169;Noise170;Noise171;Noise172;Noise173;Noise174;Noise175;Noise176;Noise177;Noise178;Noise179;Noise180;Noise181;Noise182;Noise183;Noise184;Noise185;Noise186;Noise187;Noise188;Noise189;Noise190;Noise191;Noise192;Noise193;Noise194;Noise195;Noise196;Noise197" "forte" "equilibre" 200
"15" "GAMMA_BACK" 135 3 0.34 0.32994923857868 1 0.0856282973189848 0.54 0.482142857142857 0.613636363636364 0.0957792207792208 0.54788961038961 0.482142857142857 0.636363636363636 0.00205380351911435 0.613636363636364 0.482142857142857 0.459958923940415 193.139999999999 0.0500000000029104 0 "x1;x2;x3;Noise2;Noise3;Noise4;Noise6;Noise7;Noise9;Noise10;Noise11;Noise12;Noise15;Noise16;Noise17;Noise19;Noise20;Noise21;Noise22;Noise23;Noise25;Noise26;Noise28;Noise29;Noise30;Noise31;Noise32;Noise33;Noise34;Noise35;Noise36;Noise37;Noise38;Noise39;Noise40;Noise41;Noise43;Noise44;Noise45;Noise46;Noise47;Noise48;Noise49;Noise50;Noise51;Noise52;Noise54;Noise55;Noise56;Noise58;Noise59;Noise60;Noise62;Noise63;Noise65;Noise66;Noise67;Noise68;Noise71;Noise72;Noise73;Noise74;Noise76;Noise78;Noise79;Noise81;Noise82;Noise83;Noise84;Noise85;Noise86;Noise87;Noise91;Noise92;Noise93;Noise96;Noise97;Noise98;Noise99;Noise100;Noise101;Noise102;Noise104;Noise105;Noise107;Noise109;Noise114;Noise115;Noise116;Noise117;Noise118;Noise122;Noise123;Noise124;Noise127;Noise128;Noise131;Noise132;Noise133;Noise135;Noise138;Noise140;Noise142;Noise143;Noise144;Noise146;Noise147;Noise149;Noise150;Noise151;Noise154;Noise158;Noise159;Noise160;Noise161;Noise162;Noise164;Noise170;Noise173;Noise174;Noise176;Noise177;Noise180;Noise181;Noise182;Noise184;Noise185;Noise186;Noise187;Noise188;Noise189;Noise190;Noise192;Noise196;Noise197" "forte" "equilibre" 200
"16" "GAMMA_BF" 2 2 0.995 1 0.666666666666667 0.814432110921262 0.87 0.910714285714286 0.818181818181818 0.735644591571552 0.864448051948052 0.839285714285714 0.909090909090909 0.332347214492807 0.818181818181818 0.910714285714286 0.180554228969054 4.58000000000175 0.0199999999967986 0.0100000000020373 "x1;x2" "forte" "equilibre" 200
"17" "GAMMA_FORW" 2 2 0.995 1 0.666666666666667 0.814432110921262 0.87 0.910714285714286 0.818181818181818 0.735644591571552 0.864448051948052 0.839285714285714 0.909090909090909 0.332347214492807 0.818181818181818 0.910714285714286 0.180554228969054 3.81999999999971 0.0500000000029104 0 "x1;x2" "forte" "equilibre" 200
"18" "LASSO" 2 2 0.995 1 0.666666666666667 0.814432110921262 0.87 0.910714285714286 0.818181818181818 0.735644591571552 0.864448051948052 0.839285714285714 0.909090909090909 0.332347214492807 0.818181818181818 0.910714285714286 0.180554228969054 1.84000000000378 0.0299999999988358 0.0199999999967986 "x1;x2" "forte" "equilibre" 200
"19" "RFI" 2 2 0.995 1 0.666666666666667 0.814432110921262 0.87 0.910714285714286 0.818181818181818 0.735644591571552 0.864448051948052 0.839285714285714 0.909090909090909 0.332347214492807 0.818181818181818 0.910714285714286 0.180554228969054 0.549999999995634 0.0800000000017462 0 "x1;x2" "forte" "equilibre" 200
"20" "STEP" 6 3 0.985 0.984771573604061 1 0.701702064128381 0.9 0.928571428571429 0.863636363636364 0.79674770210949 0.896103896103896 0.910714285714286 0.886363636363636 1.05087200415471e-05 0.863636363636364 0.928571428571429 0.100001679898909 3.54000000000087 0.0299999999988358 0.0100000000020373 "x1;x2;Noise182;x3;Noise50;Noise6" "forte" "equilibre" 200
"21" "SU" 4 2 0.985 0.989847715736041 0.666666666666667 0.570006691211454 0.84 0.875 0.795454545454545 0.674296723301679 0.835227272727273 0.839285714285714 0.886363636363636 0.350184163232537 0.795454545454545 0.875 0.181390871787165 0.459999999999127 0.0800000000017462 0 "x1;x2;Noise67;Noise43" "forte" "equilibre" 200
"22" "SVM-RFE" 9 3 0.97 0.969543147208122 1 0.568490148612422 0.8 0.821428571428571 0.772727272727273 0.594155844155844 0.797077922077922 0.839285714285714 0.772727272727273 0.99999955203013 0.772727272727273 0.821428571428571 0.20014086256481 9.98999999999796 0.0199999999967986 0.0199999999967986 "Noise131;Noise197;Noise20;Noise31;Noise50;Noise85;x1;x2;x3" "forte" "equilibre" 200
"23" "CFS" 2 2 0.995 1 0.666666666666667 0.814432110921262 0.83 0.760869565217391 0.888888888888889 0.658430288161591 0.82487922705314 0.891304347826087 0.851851851851852 0.757568498670654 0.888888888888889 0.760869565217391 0.182051702295931 1.7699999999968 0.0299999999988358 0 "x1;x2" "forte" "equilibre" 200
"24" "CHI2" 2 2 0.995 1 0.666666666666667 0.814432110921262 0.83 0.760869565217391 0.888888888888889 0.658430288161591 0.82487922705314 0.891304347826087 0.851851851851852 0.757568498670654 0.888888888888889 0.760869565217391 0.182051702295931 0.409999999996217 0.0500000000029104 0 "x2;x1" "forte" "equilibre" 200
"25" "FULL" 200 3 0.015 0 1 0 0.61 0.58695652173913 0.62962962962963 0.216281621126834 0.60829307568438 0.565217391304348 0.703703703703704 8.79443250601145e-09 0.62962962962963 0.58695652173913 0.393252659067726 0.0199999999967986 0.139999999999418 0.0800000000017462 "x1;x2;x3;Noise1;Noise2;Noise3;Noise4;Noise5;Noise6;Noise7;Noise8;Noise9;Noise10;Noise11;Noise12;Noise13;Noise14;Noise15;Noise16;Noise17;Noise18;Noise19;Noise20;Noise21;Noise22;Noise23;Noise24;Noise25;Noise26;Noise27;Noise28;Noise29;Noise30;Noise31;Noise32;Noise33;Noise34;Noise35;Noise36;Noise37;Noise38;Noise39;Noise40;Noise41;Noise42;Noise43;Noise44;Noise45;Noise46;Noise47;Noise48;Noise49;Noise50;Noise51;Noise52;Noise53;Noise54;Noise55;Noise56;Noise57;Noise58;Noise59;Noise60;Noise61;Noise62;Noise63;Noise64;Noise65;Noise66;Noise67;Noise68;Noise69;Noise70;Noise71;Noise72;Noise73;Noise74;Noise75;Noise76;Noise77;Noise78;Noise79;Noise80;Noise81;Noise82;Noise83;Noise84;Noise85;Noise86;Noise87;Noise88;Noise89;Noise90;Noise91;Noise92;Noise93;Noise94;Noise95;Noise96;Noise97;Noise98;Noise99;Noise100;Noise101;Noise102;Noise103;Noise104;Noise105;Noise106;Noise107;Noise108;Noise109;Noise110;Noise111;Noise112;Noise113;Noise114;Noise115;Noise116;Noise117;Noise118;Noise119;Noise120;Noise121;Noise122;Noise123;Noise124;Noise125;Noise126;Noise127;Noise128;Noise129;Noise130;Noise131;Noise132;Noise133;Noise134;Noise135;Noise136;Noise137;Noise138;Noise139;Noise140;Noise141;Noise142;Noise143;Noise144;Noise145;Noise146;Noise147;Noise148;Noise149;Noise150;Noise151;Noise152;Noise153;Noise154;Noise155;Noise156;Noise157;Noise158;Noise159;Noise160;Noise161;Noise162;Noise163;Noise164;Noise165;Noise166;Noise167;Noise168;Noise169;Noise170;Noise171;Noise172;Noise173;Noise174;Noise175;Noise176;Noise177;Noise178;Noise179;Noise180;Noise181;Noise182;Noise183;Noise184;Noise185;Noise186;Noise187;Noise188;Noise189;Noise190;Noise191;Noise192;Noise193;Noise194;Noise195;Noise196;Noise197" "forte" "equilibre" 200
"26" "GAMMA_BACK" 101 3 0.51 0.50253807106599 1 0.122175584295716 0.46 0.478260869565217 0.444444444444444 -0.0771086575954987 0.538647342995169 0.543478260869565 0.555555555555556 3.53727676109287e-11 0.444444444444444 0.478260869565217 0.539542943480619 255.040000000001 0.0400000000008731 0 "x1;x2;x3;Noise2;Noise3;Noise4;Noise6;Noise7;Noise8;Noise9;Noise12;Noise13;Noise18;Noise21;Noise24;Noise25;Noise28;Noise30;Noise31;Noise34;Noise36;Noise38;Noise39;Noise46;Noise47;Noise51;Noise52;Noise54;Noise58;Noise59;Noise63;Noise69;Noise70;Noise71;Noise72;Noise73;Noise74;Noise76;Noise77;Noise78;Noise81;Noise83;Noise86;Noise87;Noise88;Noise89;Noise90;Noise91;Noise92;Noise93;Noise94;Noise95;Noise96;Noise97;Noise100;Noise102;Noise103;Noise109;Noise110;Noise111;Noise113;Noise116;Noise117;Noise119;Noise123;Noise125;Noise131;Noise133;Noise134;Noise135;Noise138;Noise140;Noise147;Noise148;Noise149;Noise150;Noise151;Noise156;Noise157;Noise161;Noise162;Noise163;Noise165;Noise166;Noise169;Noise172;Noise173;Noise174;Noise176;Noise177;Noise179;Noise180;Noise181;Noise185;Noise186;Noise188;Noise189;Noise190;Noise191;Noise192;Noise195" "forte" "equilibre" 200
"27" "GAMMA_BF" 3 2 0.99 0.99492385786802 0.666666666666667 0.661590524534687 0.8 0.739130434782609 0.851851851851852 0.596776369172494 0.79549114331723 0.978260869565217 0.740740740740741 0.883950162187439 0.851851851851852 0.739130434782609 0.200131234665569 5.56000000000495 0.0299999999988358 0.0199999999967986 "x1;x2;Noise159" "forte" "equilibre" 200
"28" "GAMMA_FORW" 3 2 0.99 0.99492385786802 0.666666666666667 0.661590524534687 0.8 0.739130434782609 0.851851851851852 0.596776369172494 0.79549114331723 0.978260869565217 0.740740740740741 0.883950162187439 0.851851851851852 0.739130434782609 0.200131234665569 4.62000000000262 0.0199999999967986 0 "x1;x2;Noise159" "forte" "equilibre" 200
"29" "LASSO" 2 2 0.995 1 0.666666666666667 0.814432110921262 0.83 0.760869565217391 0.888888888888889 0.658430288161591 0.82487922705314 0.891304347826087 0.851851851851852 0.757568498670654 0.888888888888889 0.760869565217391 0.182051702295931 1.81999999999971 0.0299999999988358 0 "x1;x2" "forte" "equilibre" 200
"30" "RFI" 2 2 0.995 1 0.666666666666667 0.814432110921262 0.83 0.760869565217391 0.888888888888889 0.658430288161591 0.82487922705314 0.891304347826087 0.851851851851852 0.757568498670654 0.888888888888889 0.760869565217391 0.182051702295931 0.5 0.0600000000049477 0 "x2;x1" "forte" "equilibre" 200
"31" "STEP" 7 3 0.98 0.979695431472081 1 0.647973356420534 0.83 0.804347826086957 0.851851851851852 0.657391685602346 0.828099838969404 0.826086956521739 0.851851851851852 0.999999999999668 0.851851851851852 0.804347826086957 0.169923045000748 3.62000000000262 0.0300000000061118 0.0199999999967986 "x2;x1;Noise8;Noise196;Noise148;Noise115;x3" "forte" "equilibre" 200
"32" "SU" 2 2 0.995 1 0.666666666666667 0.814432110921262 0.83 0.760869565217391 0.888888888888889 0.658430288161591 0.82487922705314 0.891304347826087 0.851851851851852 0.757568498670654 0.888888888888889 0.760869565217391 0.182051702295931 0.409999999996217 0.0400000000008731 0 "x2;x1" "forte" "equilibre" 200
"33" "SVM-RFE" 24 2 0.885 0.888324873096447 0.666666666666667 0.207595601973833 0.69 0.717391304347826 0.666666666666667 0.382903601192589 0.692028985507246 0.782608695652174 0.648148148148148 0.999809411302509 0.666666666666667 0.717391304347826 0.3102368386133 9.76000000000204 0.0299999999988358 0 "Noise10;Noise102;Noise105;Noise111;Noise116;Noise117;Noise12;Noise125;Noise158;Noise161;Noise177;Noise179;Noise19;Noise195;Noise36;Noise55;Noise63;Noise69;Noise73;Noise76;Noise81;Noise92;x1;x2" "forte" "equilibre" 200
"34" "CFS" 2 2 0.995 1 0.666666666666667 0.814432110921262 0.93 0.891304347826087 0.962962962962963 0.859998964231907 0.927133655394525 0.934782608695652 0.962962962962963 0.549680383592859 0.962962962962963 0.891304347826087 0.149410013826111 1.68999999999505 0.0400000000008731 0 "x1;x2" "forte" "equilibre" 200
"35" "CHI2" 2 2 0.995 1 0.666666666666667 0.814432110921262 0.93 0.891304347826087 0.962962962962963 0.859998964231907 0.927133655394525 0.934782608695652 0.962962962962963 0.54968038359286 0.962962962962963 0.891304347826087 0.149410013826111 0.339999999996508 0.0400000000008731 0 "x2;x1" "forte" "equilibre" 200
"36" "FULL" 200 3 0.015 0 1 0 0.45 0.369565217391304 0.518518518518518 -0.112667159310306 0.444041867954911 0.673913043478261 0.462962962962963 7.30965017614085e-10 0.518518518518518 0.369565217391304 0.550625665441297 0 0.17000000000553 0.069999999999709 "x1;x2;x3;Noise1;Noise2;Noise3;Noise4;Noise5;Noise6;Noise7;Noise8;Noise9;Noise10;Noise11;Noise12;Noise13;Noise14;Noise15;Noise16;Noise17;Noise18;Noise19;Noise20;Noise21;Noise22;Noise23;Noise24;Noise25;Noise26;Noise27;Noise28;Noise29;Noise30;Noise31;Noise32;Noise33;Noise34;Noise35;Noise36;Noise37;Noise38;Noise39;Noise40;Noise41;Noise42;Noise43;Noise44;Noise45;Noise46;Noise47;Noise48;Noise49;Noise50;Noise51;Noise52;Noise53;Noise54;Noise55;Noise56;Noise57;Noise58;Noise59;Noise60;Noise61;Noise62;Noise63;Noise64;Noise65;Noise66;Noise67;Noise68;Noise69;Noise70;Noise71;Noise72;Noise73;Noise74;Noise75;Noise76;Noise77;Noise78;Noise79;Noise80;Noise81;Noise82;Noise83;Noise84;Noise85;Noise86;Noise87;Noise88;Noise89;Noise90;Noise91;Noise92;Noise93;Noise94;Noise95;Noise96;Noise97;Noise98;Noise99;Noise100;Noise101;Noise102;Noise103;Noise104;Noise105;Noise106;Noise107;Noise108;Noise109;Noise110;Noise111;Noise112;Noise113;Noise114;Noise115;Noise116;Noise117;Noise118;Noise119;Noise120;Noise121;Noise122;Noise123;Noise124;Noise125;Noise126;Noise127;Noise128;Noise129;Noise130;Noise131;Noise132;Noise133;Noise134;Noise135;Noise136;Noise137;Noise138;Noise139;Noise140;Noise141;Noise142;Noise143;Noise144;Noise145;Noise146;Noise147;Noise148;Noise149;Noise150;Noise151;Noise152;Noise153;Noise154;Noise155;Noise156;Noise157;Noise158;Noise159;Noise160;Noise161;Noise162;Noise163;Noise164;Noise165;Noise166;Noise167;Noise168;Noise169;Noise170;Noise171;Noise172;Noise173;Noise174;Noise175;Noise176;Noise177;Noise178;Noise179;Noise180;Noise181;Noise182;Noise183;Noise184;Noise185;Noise186;Noise187;Noise188;Noise189;Noise190;Noise191;Noise192;Noise193;Noise194;Noise195;Noise196;Noise197" "forte" "equilibre" 200
"37" "GAMMA_BACK" 113 3 0.45 0.441624365482233 1 0.108279918158999 0.51 0.41304347826087 0.592592592592593 0.00571129122321083 0.502818035426731 0.5 0.574074074074074 0.999999999999438 0.592592592592593 0.41304347826087 0.490033075918271 233.540000000001 0.0500000000029104 0.0100000000020373 "x1;x2;x3;Noise1;Noise2;Noise6;Noise8;Noise9;Noise10;Noise11;Noise13;Noise17;Noise18;Noise22;Noise23;Noise26;Noise28;Noise29;Noise31;Noise37;Noise38;Noise39;Noise40;Noise42;Noise43;Noise47;Noise48;Noise49;Noise51;Noise52;Noise53;Noise57;Noise59;Noise60;Noise61;Noise62;Noise63;Noise65;Noise70;Noise71;Noise72;Noise73;Noise74;Noise76;Noise80;Noise82;Noise85;Noise86;Noise87;Noise88;Noise90;Noise92;Noise93;Noise94;Noise95;Noise96;Noise97;Noise100;Noise101;Noise102;Noise104;Noise105;Noise107;Noise108;Noise109;Noise113;Noise116;Noise118;Noise121;Noise123;Noise125;Noise129;Noise131;Noise133;Noise135;Noise136;Noise137;Noise140;Noise141;Noise142;Noise143;Noise144;Noise145;Noise147;Noise149;Noise150;Noise153;Noise154;Noise155;Noise156;Noise157;Noise158;Noise160;Noise162;Noise164;Noise165;Noise166;Noise168;Noise169;Noise170;Noise172;Noise173;Noise174;Noise176;Noise177;Noise179;Noise180;Noise182;Noise184;Noise187;Noise189;Noise190;Noise195" "forte" "equilibre" 200
"38" "GAMMA_BF" 3 2 0.99 0.99492385786802 0.666666666666667 0.661590524534687 0.9 0.826086956521739 0.962962962962963 0.802739539065551 0.894524959742351 0.91304347826087 0.944444444444444 0.620476976306097 0.962962962962963 0.826086956521739 0.145469946468757 5.70999999999913 0.0199999999967986 0.0100000000020373 "x1;x2;Noise185" "forte" "equilibre" 200
"39" "GAMMA_FORW" 3 2 0.99 0.99492385786802 0.666666666666667 0.661590524534687 0.9 0.826086956521739 0.962962962962963 0.802739539065551 0.894524959742351 0.91304347826087 0.944444444444444 0.620476976306097 0.962962962962963 0.826086956521739 0.145469946468757 4.63999999999942 0.0199999999967986 0 "x1;x2;Noise185" "forte" "equilibre" 200
"40" "LASSO" 9 3 0.97 0.969543147208122 1 0.568490148612422 0.82 0.739130434782609 0.888888888888889 0.638915143337888 0.814009661835749 0.760869565217391 0.87037037037037 0.979965070347433 0.888888888888889 0.739130434782609 0.184073133996203 1.86000000000058 0.0500000000029104 0.0100000000020373 "x1;x2;x3;Noise6;Noise70;Noise80;Noise133;Noise153;Noise156" "forte" "equilibre" 200
"41" "RFI" 2 2 0.995 1 0.666666666666667 0.814432110921262 0.93 0.891304347826087 0.962962962962963 0.859998964231907 0.927133655394525 0.934782608695652 0.962962962962963 0.54968038359286 0.962962962962963 0.891304347826087 0.149410013826111 0.549999999995634 0.0599999999976717 0 "x2;x1" "forte" "equilibre" 200
"42" "STEP" 6 3 0.985 0.984771573604061 1 0.701702064128381 0.8 0.695652173913043 0.888888888888889 0.600209931860576 0.792270531400966 0.760869565217391 0.87037037037037 0.999999999999571 0.888888888888889 0.695652173913043 0.199990694591803 3.30999999999767 0.0400000000008731 0 "x1;x2;x3;Noise80;Noise153;Noise70" "forte" "equilibre" 200
