"Approach" "NbVarSelected" "NbVarInf" "Accuracy_selection" "Specificity_selection" "Sensitivity_selection" "MCC_selection" "Accuracy_test" "Specificity_test" "Sensitivity_test" "MCC_test" "AUC" "YoudenSpe" "YoudenSe" "Youden" "TPR" "TNR" "MAE" "Runtime" "TrainingTime" "TestTime" "VarSelected" "Separation" "Repartition" "NbVar"
"11" "SVM-RFE" 17 2 0.92 0.923857868020305 0.666666666666667 0.25738408001165 0.73 0.766233766233766 0.608695652173913 0.338243417221266 0.68746470920384 0.844155844155844 0.608695652173913 0.999817978606372 0.608695652173913 0.766233766233766 0.274559933798367 12.679999999993 0.0399999999935972 0 "Noise11;Noise125;Noise142;Noise153;Noise160;Noise165;Noise166;Noise168;Noise171;Noise177;Noise180;Noise193;Noise46;Noise51;Noise87;x1;x2" "forte" "desequilibre" 200
"12" "CFS" 2 2 0.995 1 0.666666666666667 0.814432110921262 0.89 0.936708860759494 0.714285714285714 0.662888631789319 0.825497287522604 0.784810126582278 0.952380952380952 0.177727541336913 0.714285714285714 0.936708860759494 0.188525321478517 2.19000000000233 0.0499999999883585 0 "x1;x2" "forte" "desequilibre" 200
"13" "CHI2" 2 2 0.995 1 0.666666666666667 0.814432110921262 0.89 0.936708860759494 0.714285714285714 0.662888631789319 0.825497287522604 0.784810126582278 0.952380952380952 0.177727541336913 0.714285714285714 0.936708860759494 0.188525321478517 0.529999999998836 0.0599999999976717 0 "x1;x2" "forte" "desequilibre" 200
"14" "FULL" 200 3 0.015 0 1 0 0.44 0.417721518987342 0.523809523809524 -0.0481035231420708 0.470765521398433 0.569620253164557 0.523809523809524 0.999587263201629 0.523809523809524 0.417721518987342 0.559807490182092 0 0.170000000012806 0.0999999999912689 "x1;x2;x3;Noise1;Noise2;Noise3;Noise4;Noise5;Noise6;Noise7;Noise8;Noise9;Noise10;Noise11;Noise12;Noise13;Noise14;Noise15;Noise16;Noise17;Noise18;Noise19;Noise20;Noise21;Noise22;Noise23;Noise24;Noise25;Noise26;Noise27;Noise28;Noise29;Noise30;Noise31;Noise32;Noise33;Noise34;Noise35;Noise36;Noise37;Noise38;Noise39;Noise40;Noise41;Noise42;Noise43;Noise44;Noise45;Noise46;Noise47;Noise48;Noise49;Noise50;Noise51;Noise52;Noise53;Noise54;Noise55;Noise56;Noise57;Noise58;Noise59;Noise60;Noise61;Noise62;Noise63;Noise64;Noise65;Noise66;Noise67;Noise68;Noise69;Noise70;Noise71;Noise72;Noise73;Noise74;Noise75;Noise76;Noise77;Noise78;Noise79;Noise80;Noise81;Noise82;Noise83;Noise84;Noise85;Noise86;Noise87;Noise88;Noise89;Noise90;Noise91;Noise92;Noise93;Noise94;Noise95;Noise96;Noise97;Noise98;Noise99;Noise100;Noise101;Noise102;Noise103;Noise104;Noise105;Noise106;Noise107;Noise108;Noise109;Noise110;Noise111;Noise112;Noise113;Noise114;Noise115;Noise116;Noise117;Noise118;Noise119;Noise120;Noise121;Noise122;Noise123;Noise124;Noise125;Noise126;Noise127;Noise128;Noise129;Noise130;Noise131;Noise132;Noise133;Noise134;Noise135;Noise136;Noise137;Noise138;Noise139;Noise140;Noise141;Noise142;Noise143;Noise144;Noise145;Noise146;Noise147;Noise148;Noise149;Noise150;Noise151;Noise152;Noise153;Noise154;Noise155;Noise156;Noise157;Noise158;Noise159;Noise160;Noise161;Noise162;Noise163;Noise164;Noise165;Noise166;Noise167;Noise168;Noise169;Noise170;Noise171;Noise172;Noise173;Noise174;Noise175;Noise176;Noise177;Noise178;Noise179;Noise180;Noise181;Noise182;Noise183;Noise184;Noise185;Noise186;Noise187;Noise188;Noise189;Noise190;Noise191;Noise192;Noise193;Noise194;Noise195;Noise196;Noise197" "forte" "desequilibre" 200
"15" "GAMMA_BACK" 109 3 0.47 0.461928934010152 1 0.112754779879172 0.48 0.468354430379747 0.523809523809524 -0.00639489319599241 0.496081977094635 0.518987341772152 0.523809523809524 0.999898899795489 0.523809523809524 0.468354430379747 0.517027829687786 296.890000000014 0.0500000000029104 0.0100000000093132 "x1;x2;x3;Noise1;Noise2;Noise3;Noise5;Noise7;Noise8;Noise10;Noise11;Noise12;Noise13;Noise14;Noise18;Noise20;Noise21;Noise23;Noise25;Noise30;Noise33;Noise34;Noise35;Noise38;Noise42;Noise43;Noise44;Noise47;Noise48;Noise52;Noise56;Noise58;Noise60;Noise65;Noise67;Noise68;Noise69;Noise71;Noise72;Noise75;Noise77;Noise81;Noise82;Noise83;Noise84;Noise85;Noise86;Noise88;Noise89;Noise90;Noise93;Noise95;Noise97;Noise100;Noise101;Noise103;Noise106;Noise108;Noise109;Noise110;Noise111;Noise112;Noise114;Noise115;Noise116;Noise118;Noise119;Noise125;Noise127;Noise130;Noise132;Noise133;Noise135;Noise136;Noise139;Noise140;Noise141;Noise144;Noise145;Noise147;Noise150;Noise151;Noise155;Noise157;Noise158;Noise160;Noise161;Noise163;Noise167;Noise168;Noise169;Noise170;Noise171;Noise172;Noise173;Noise176;Noise178;Noise180;Noise182;Noise183;Noise184;Noise185;Noise186;Noise188;Noise189;Noise190;Noise192;Noise193;Noise194" "forte" "desequilibre" 200
"16" "GAMMA_BF" 9 2 0.96 0.964467005076142 0.666666666666667 0.37006426777039 0.79 0.848101265822785 0.571428571428571 0.400104678413059 0.709764918625678 0.759493670886076 0.857142857142857 0.144295808165288 0.571428571428571 0.848101265822785 0.211413716512507 21.3099999999977 0.0200000000040745 0 "x1;x2;Noise33;Noise67;Noise101;Noise114;Noise133;Noise167;Noise168" "forte" "desequilibre" 200
"17" "GAMMA_FORW" 9 2 0.96 0.964467005076142 0.666666666666667 0.37006426777039 0.79 0.848101265822785 0.571428571428571 0.400104678413059 0.709764918625678 0.759493670886076 0.857142857142857 0.144295808165288 0.571428571428571 0.848101265822785 0.211413716512507 15.6000000000058 0.00999999999476131 0 "x1;x2;Noise33;Noise67;Noise101;Noise114;Noise133;Noise167;Noise168" "forte" "desequilibre" 200
"18" "LASSO" 2 2 0.995 1 0.666666666666667 0.814432110921262 0.89 0.936708860759494 0.714285714285714 0.662888631789319 0.825497287522604 0.784810126582278 0.952380952380952 0.177727541336913 0.714285714285714 0.936708860759494 0.188525321478517 2.40999999998894 0.0500000000029104 0 "x1;x2" "forte" "desequilibre" 200
"19" "RFI" 1 1 0.99 1 0.333333333333333 0.57444168510062 0.86 0.911392405063291 0.666666666666667 0.578059071729958 0.789029535864979 0.848101265822785 0.904761904761905 0.28243764380551 0.666666666666667 0.911392405063291 0.21168749466201 0.610000000000582 0.0400000000081491 0.00999999999476131 "x1" "forte" "desequilibre" 200
"20" "STEP" 7 2 0.97 0.974619289340102 0.666666666666667 0.424148362838311 0.81 0.822784810126582 0.761904761904762 0.519683458999163 0.792344786015672 0.822784810126582 0.761904761904762 0.5 0.761904761904762 0.822784810126582 0.19 4.51999999998952 0.0299999999988358 0 "x1;x2;Noise114;Noise183;Noise93;Noise26;Noise168" "forte" "desequilibre" 200
