"Approach" "NbVarSelected" "NbVarInf" "Accuracy_selection" "Specificity_selection" "Sensitivity_selection" "MCC_selection" "Accuracy_test" "Specificity_test" "Sensitivity_test" "MCC_test" "AUC" "YoudenSpe" "YoudenSe" "Youden" "TPR" "TNR" "MAE" "Runtime" "TrainingTime" "TestTime" "VarSelected" "Separation" "Repartition" "NbVar"
"11" "SVM-RFE" 27 3 0.88 0.878172588832487 1 0.312369544118018 0.77 0.916666666666667 0.6875 0.581046827283124 0.802083333333333 0.972222222222222 0.640625 0.999070302365346 0.6875 0.916666666666667 0.236368440891259 11.2700000000004 0.0400000000008731 0 "Noise102;Noise106;Noise115;Noise12;Noise127;Noise129;Noise13;Noise140;Noise153;Noise158;Noise16;Noise17;Noise175;Noise176;Noise28;Noise31;Noise50;Noise55;Noise61;Noise66;Noise7;Noise9;Noise90;Noise91;x1;x2;x3" "faible" "equilibre" 200
"12" "CFS" 1 1 0.99 1 0.333333333333333 0.57444168510062 0.7 0.595744680851064 0.792452830188679 0.3972303192273 0.694098755519872 0.851063829787234 0.622641509433962 0.722913808233844 0.792452830188679 0.595744680851064 0.324286678748225 1.09000000000015 0.0499999999992724 0 "x2" "faible" "equilibre" 200
"13" "CHI2" 1 1 0.99 1 0.333333333333333 0.57444168510062 0.7 0.595744680851064 0.792452830188679 0.3972303192273 0.694098755519872 0.851063829787234 0.622641509433962 0.722913808233844 0.792452830188679 0.595744680851064 0.324286678748225 0.43999999999869 0.0499999999992724 0 "x2" "faible" "equilibre" 200
"14" "FULL" 200 3 0.015 0 1 0 0.61 0.723404255319149 0.509433962264151 0.237211373917787 0.61641910879165 0.723404255319149 0.509433962264151 0.50003339945293 0.509433962264151 0.723404255319149 0.390000657461373 0 0.150000000001455 0.0799999999981083 "x1;x2;x3;Noise1;Noise2;Noise3;Noise4;Noise5;Noise6;Noise7;Noise8;Noise9;Noise10;Noise11;Noise12;Noise13;Noise14;Noise15;Noise16;Noise17;Noise18;Noise19;Noise20;Noise21;Noise22;Noise23;Noise24;Noise25;Noise26;Noise27;Noise28;Noise29;Noise30;Noise31;Noise32;Noise33;Noise34;Noise35;Noise36;Noise37;Noise38;Noise39;Noise40;Noise41;Noise42;Noise43;Noise44;Noise45;Noise46;Noise47;Noise48;Noise49;Noise50;Noise51;Noise52;Noise53;Noise54;Noise55;Noise56;Noise57;Noise58;Noise59;Noise60;Noise61;Noise62;Noise63;Noise64;Noise65;Noise66;Noise67;Noise68;Noise69;Noise70;Noise71;Noise72;Noise73;Noise74;Noise75;Noise76;Noise77;Noise78;Noise79;Noise80;Noise81;Noise82;Noise83;Noise84;Noise85;Noise86;Noise87;Noise88;Noise89;Noise90;Noise91;Noise92;Noise93;Noise94;Noise95;Noise96;Noise97;Noise98;Noise99;Noise100;Noise101;Noise102;Noise103;Noise104;Noise105;Noise106;Noise107;Noise108;Noise109;Noise110;Noise111;Noise112;Noise113;Noise114;Noise115;Noise116;Noise117;Noise118;Noise119;Noise120;Noise121;Noise122;Noise123;Noise124;Noise125;Noise126;Noise127;Noise128;Noise129;Noise130;Noise131;Noise132;Noise133;Noise134;Noise135;Noise136;Noise137;Noise138;Noise139;Noise140;Noise141;Noise142;Noise143;Noise144;Noise145;Noise146;Noise147;Noise148;Noise149;Noise150;Noise151;Noise152;Noise153;Noise154;Noise155;Noise156;Noise157;Noise158;Noise159;Noise160;Noise161;Noise162;Noise163;Noise164;Noise165;Noise166;Noise167;Noise168;Noise169;Noise170;Noise171;Noise172;Noise173;Noise174;Noise175;Noise176;Noise177;Noise178;Noise179;Noise180;Noise181;Noise182;Noise183;Noise184;Noise185;Noise186;Noise187;Noise188;Noise189;Noise190;Noise191;Noise192;Noise193;Noise194;Noise195;Noise196;Noise197" "faible" "equilibre" 200
"15" "GAMMA_BACK" 97 3 0.53 0.522842639593909 1 0.127162851946925 0.54 0.574468085106383 0.509433962264151 0.0839020473705339 0.541951023685267 0.659574468085106 0.490566037735849 0.999999999999942 0.509433962264151 0.574468085106383 0.459994465892729 291.240000000002 0.0299999999988358 0.0200000000004366 "x1;x2;x3;Noise1;Noise2;Noise3;Noise5;Noise6;Noise9;Noise10;Noise13;Noise14;Noise15;Noise16;Noise17;Noise18;Noise19;Noise21;Noise26;Noise27;Noise28;Noise31;Noise33;Noise34;Noise35;Noise36;Noise37;Noise40;Noise43;Noise48;Noise50;Noise53;Noise55;Noise56;Noise66;Noise67;Noise68;Noise70;Noise71;Noise72;Noise75;Noise76;Noise77;Noise78;Noise79;Noise80;Noise81;Noise83;Noise84;Noise90;Noise92;Noise93;Noise96;Noise98;Noise99;Noise101;Noise105;Noise106;Noise107;Noise111;Noise113;Noise114;Noise118;Noise122;Noise127;Noise129;Noise131;Noise133;Noise136;Noise137;Noise138;Noise139;Noise141;Noise142;Noise143;Noise145;Noise146;Noise150;Noise151;Noise154;Noise157;Noise158;Noise164;Noise166;Noise168;Noise175;Noise177;Noise180;Noise181;Noise182;Noise183;Noise187;Noise189;Noise191;Noise192;Noise193;Noise196" "faible" "equilibre" 200
"16" "GAMMA_BF" 7 3 0.98 0.979695431472081 1 0.647973356420534 0.76 0.659574468085106 0.849056603773585 0.520466199028944 0.754315535929346 0.893617021276596 0.735849056603774 0.689375019289064 0.849056603773585 0.659574468085106 0.271955910890565 14.4599999999991 0.00999999999839929 0.0200000000004366 "x1;x2;x3;Noise84;Noise101;Noise110;Noise187" "faible" "equilibre" 200
"17" "GAMMA_FORW" 7 3 0.98 0.979695431472081 1 0.647973356420534 0.76 0.659574468085106 0.849056603773585 0.520466199028944 0.754315535929346 0.893617021276596 0.735849056603774 0.689375019289064 0.849056603773585 0.659574468085106 0.271955910890565 10.3000000000029 0.0300000000024738 0 "x1;x2;x3;Noise84;Noise101;Noise110;Noise187" "faible" "equilibre" 200
"18" "LASSO" 1 1 0.99 1 0.333333333333333 0.57444168510062 0.7 0.595744680851064 0.792452830188679 0.3972303192273 0.694098755519872 0.851063829787234 0.622641509433962 0.722913808233844 0.792452830188679 0.595744680851064 0.324286678748225 2.07999999999811 0.0499999999992724 0 "x2" "faible" "equilibre" 200
"19" "RFI" 1 1 0.99 1 0.333333333333333 0.57444168510062 0.7 0.595744680851064 0.792452830188679 0.3972303192273 0.694098755519872 0.851063829787234 0.622641509433962 0.722913808233844 0.792452830188679 0.595744680851064 0.324286678748225 0.610000000000582 0.0600000000013097 0.0100000000020373 "x2" "faible" "equilibre" 200
"20" "STEP" 10 2 0.955 0.959390862944162 0.666666666666667 0.349165385301343 0.7 0.553191489361702 0.830188679245283 0.401167560300204 0.691690084303493 0.574468085106383 0.830188679245283 0.850615996652464 0.830188679245283 0.553191489361702 0.297012319933284 5.68000000000029 0.0200000000004366 0 "x2;x1;Noise50;Noise133;Noise101;Noise55;Noise87;Noise150;Noise88;Noise37" "faible" "equilibre" 200
"21" "SU" 1 1 0.99 1 0.333333333333333 0.57444168510062 0.7 0.595744680851064 0.792452830188679 0.3972303192273 0.694098755519872 0.851063829787234 0.622641509433962 0.722913808233844 0.792452830188679 0.595744680851064 0.324286678748225 0.549999999999272 0.0399999999972351 0 "x2" "faible" "equilibre" 200
"22" "SVM-RFE" 27 2 0.87 0.873096446700508 0.666666666666667 0.191995924034004 0.52 0.446808510638298 0.584905660377358 0.0319719092728723 0.515857085507828 0.765957446808511 0.490566037735849 0.999999999998925 0.584905660377358 0.446808510638298 0.470410286605035 13.0900000000001 0.0299999999988358 0 "Noise101;Noise110;Noise113;Noise114;Noise120;Noise15;Noise166;Noise175;Noise177;Noise182;Noise187;Noise188;Noise19;Noise21;Noise34;Noise38;Noise40;Noise5;Noise50;Noise76;Noise78;Noise79;Noise87;Noise89;Noise99;x1;x2" "faible" "equilibre" 200
"23" "CFS" 2 2 0.995 1 0.666666666666667 0.814432110921262 0.8 0.86 0.74 0.604367223019035 0.8 0.7 0.98 0.212081655887749 0.74 0.86 0.251092022202809 2.09999999999854 0.0499999999992724 0 "x2;x3" "faible" "equilibre" 200
"24" "CHI2" 3 2 0.99 0.99492385786802 0.666666666666667 0.661590524534687 0.8 0.82 0.78 0.600480576769077 0.8 0.68 0.96 0.171022794985456 0.78 0.82 0.248024583100739 0.420000000001892 0.0499999999992724 0.00999999999839929 "x2;x3;Noise111" "faible" "equilibre" 200
"25" "FULL" 200 3 0.015 0 1 0 0.5 0.54 0.46 0 0.5 0 1 -Inf 0.46 0.54 0.5 0.00999999999839929 0.159999999999854 0.0599999999976717 "x1;x2;x3;Noise1;Noise2;Noise3;Noise4;Noise5;Noise6;Noise7;Noise8;Noise9;Noise10;Noise11;Noise12;Noise13;Noise14;Noise15;Noise16;Noise17;Noise18;Noise19;Noise20;Noise21;Noise22;Noise23;Noise24;Noise25;Noise26;Noise27;Noise28;Noise29;Noise30;Noise31;Noise32;Noise33;Noise34;Noise35;Noise36;Noise37;Noise38;Noise39;Noise40;Noise41;Noise42;Noise43;Noise44;Noise45;Noise46;Noise47;Noise48;Noise49;Noise50;Noise51;Noise52;Noise53;Noise54;Noise55;Noise56;Noise57;Noise58;Noise59;Noise60;Noise61;Noise62;Noise63;Noise64;Noise65;Noise66;Noise67;Noise68;Noise69;Noise70;Noise71;Noise72;Noise73;Noise74;Noise75;Noise76;Noise77;Noise78;Noise79;Noise80;Noise81;Noise82;Noise83;Noise84;Noise85;Noise86;Noise87;Noise88;Noise89;Noise90;Noise91;Noise92;Noise93;Noise94;Noise95;Noise96;Noise97;Noise98;Noise99;Noise100;Noise101;Noise102;Noise103;Noise104;Noise105;Noise106;Noise107;Noise108;Noise109;Noise110;Noise111;Noise112;Noise113;Noise114;Noise115;Noise116;Noise117;Noise118;Noise119;Noise120;Noise121;Noise122;Noise123;Noise124;Noise125;Noise126;Noise127;Noise128;Noise129;Noise130;Noise131;Noise132;Noise133;Noise134;Noise135;Noise136;Noise137;Noise138;Noise139;Noise140;Noise141;Noise142;Noise143;Noise144;Noise145;Noise146;Noise147;Noise148;Noise149;Noise150;Noise151;Noise152;Noise153;Noise154;Noise155;Noise156;Noise157;Noise158;Noise159;Noise160;Noise161;Noise162;Noise163;Noise164;Noise165;Noise166;Noise167;Noise168;Noise169;Noise170;Noise171;Noise172;Noise173;Noise174;Noise175;Noise176;Noise177;Noise178;Noise179;Noise180;Noise181;Noise182;Noise183;Noise184;Noise185;Noise186;Noise187;Noise188;Noise189;Noise190;Noise191;Noise192;Noise193;Noise194;Noise195;Noise196;Noise197" "faible" "equilibre" 200
"26" "GAMMA_BACK" 119 3 0.42 0.411167512690355 1 0.101811431316997 0.48 0.4 0.56 -0.0405220449236554 0.48 0.56 0.52 0.999999999913971 0.56 0.4 0.523398130685964 252.959999999999 0.0499999999992724 0.0199999999967986 "x1;x2;x3;Noise1;Noise2;Noise3;Noise4;Noise5;Noise9;Noise11;Noise12;Noise13;Noise15;Noise16;Noise18;Noise21;Noise22;Noise23;Noise24;Noise26;Noise27;Noise29;Noise31;Noise32;Noise33;Noise34;Noise35;Noise37;Noise41;Noise42;Noise43;Noise44;Noise45;Noise46;Noise47;Noise48;Noise49;Noise50;Noise51;Noise52;Noise54;Noise55;Noise57;Noise58;Noise59;Noise64;Noise70;Noise71;Noise72;Noise75;Noise77;Noise79;Noise81;Noise82;Noise83;Noise84;Noise85;Noise87;Noise90;Noise91;Noise93;Noise95;Noise96;Noise97;Noise98;Noise99;Noise102;Noise104;Noise105;Noise108;Noise109;Noise111;Noise113;Noise115;Noise117;Noise118;Noise120;Noise122;Noise123;Noise126;Noise128;Noise131;Noise132;Noise135;Noise138;Noise139;Noise140;Noise144;Noise145;Noise146;Noise147;Noise151;Noise152;Noise153;Noise154;Noise155;Noise156;Noise157;Noise158;Noise159;Noise160;Noise163;Noise164;Noise165;Noise166;Noise170;Noise171;Noise175;Noise176;Noise178;Noise181;Noise185;Noise187;Noise188;Noise189;Noise191;Noise193;Noise195;Noise196" "faible" "equilibre" 200
"27" "GAMMA_BF" 3 2 0.99 0.99492385786802 0.666666666666667 0.661590524534687 0.81 0.86 0.76 0.623123445460712 0.81 0.72 0.98 0.223767928976809 0.76 0.86 0.248239488531742 6.88999999999942 0.0400000000008731 0 "x2;x3;Noise10" "faible" "equilibre" 200
"28" "GAMMA_FORW" 3 2 0.99 0.99492385786802 0.666666666666667 0.661590524534687 0.81 0.86 0.76 0.623123445460712 0.81 0.72 0.98 0.223767928976809 0.76 0.86 0.248239488531742 5.66999999999825 0.0299999999988358 0 "x2;x3;Noise10" "faible" "equilibre" 200
"29" "LASSO" 2 2 0.995 1 0.666666666666667 0.814432110921262 0.8 0.86 0.74 0.604367223019035 0.8 0.7 0.98 0.212081655887749 0.74 0.86 0.251092022202809 2.21999999999753 0.0399999999972351 0 "x2;x3" "faible" "equilibre" 200
"30" "RFI" 2 2 0.995 1 0.666666666666667 0.814432110921262 0.8 0.86 0.74 0.604367223019035 0.8 0.7 0.98 0.212081655887749 0.74 0.86 0.251092022202809 0.639999999999418 0.0499999999992724 0 "x2;x3" "faible" "equilibre" 200
"31" "STEP" 9 2 0.96 0.964467005076142 0.666666666666667 0.37006426777039 0.66 0.74 0.58 0.324176359389243 0.66 0.74 0.66 1.75077335110826e-06 0.58 0.74 0.337908812500568 5.15999999999985 0.0300000000024738 0 "x2;x3;Noise65;Noise49;Noise34;Noise164;Noise75;Noise77;Noise51" "faible" "equilibre" 200
"32" "SU" 3 2 0.99 0.99492385786802 0.666666666666667 0.661590524534687 0.8 0.82 0.78 0.600480576769077 0.8 0.68 0.96 0.171022794985456 0.78 0.82 0.248024583100739 0.530000000002474 0.0600000000013097 0 "x2;x3;Noise111" "faible" "equilibre" 200
"33" "SVM-RFE" 50 2 0.755 0.756345177664975 0.666666666666667 0.118745083313183 0.62 0.58 0.66 0.240771706171538 0.62 0.56 0.7 0.249045509600737 0.66 0.58 0.390709465984622 11.6899999999987 0.0299999999988358 0.0200000000004366 "Noise106;Noise117;Noise123;Noise128;Noise130;Noise140;Noise146;Noise151;Noise152;Noise155;Noise156;Noise159;Noise163;Noise164;Noise165;Noise166;Noise169;Noise171;Noise176;Noise178;Noise181;Noise185;Noise186;Noise187;Noise19;Noise191;Noise194;Noise195;Noise2;Noise31;Noise32;Noise34;Noise39;Noise41;Noise46;Noise48;Noise49;Noise64;Noise65;Noise71;Noise75;Noise77;Noise83;Noise88;Noise89;Noise93;Noise98;Noise99;x2;x3" "faible" "equilibre" 200
"34" "CFS" 1 1 0.99 1 0.333333333333333 0.57444168510062 0.77 0.795918367346939 0.745098039215686 0.541341438977985 0.770508203281313 0.816326530612245 0.745098039215686 0.534409353175607 0.745098039215686 0.795918367346939 0.299783494807286 1.14000000000306 0.0599999999976717 0 "x2" "faible" "equilibre" 200
"35" "CHI2" 2 1 0.985 0.99492385786802 0.333333333333333 0.401014795732804 0.77 0.795918367346939 0.745098039215686 0.541341438977985 0.770508203281313 0.816326530612245 0.745098039215686 0.534039351809877 0.745098039215686 0.795918367346939 0.29987174537351 0.450000000000728 0.0499999999992724 0.0100000000020373 "x2;Noise139" "faible" "equilibre" 200
"36" "FULL" 200 3 0.015 0 1 0 0.5 0.469387755102041 0.529411764705882 -0.0012024063548752 0.499399759903962 0.571428571428571 0.450980392156863 1.0208113372346e-07 0.529411764705882 0.469387755102041 0.503961925691031 0 0.169999999998254 0.0600000000013097 "x1;x2;x3;Noise1;Noise2;Noise3;Noise4;Noise5;Noise6;Noise7;Noise8;Noise9;Noise10;Noise11;Noise12;Noise13;Noise14;Noise15;Noise16;Noise17;Noise18;Noise19;Noise20;Noise21;Noise22;Noise23;Noise24;Noise25;Noise26;Noise27;Noise28;Noise29;Noise30;Noise31;Noise32;Noise33;Noise34;Noise35;Noise36;Noise37;Noise38;Noise39;Noise40;Noise41;Noise42;Noise43;Noise44;Noise45;Noise46;Noise47;Noise48;Noise49;Noise50;Noise51;Noise52;Noise53;Noise54;Noise55;Noise56;Noise57;Noise58;Noise59;Noise60;Noise61;Noise62;Noise63;Noise64;Noise65;Noise66;Noise67;Noise68;Noise69;Noise70;Noise71;Noise72;Noise73;Noise74;Noise75;Noise76;Noise77;Noise78;Noise79;Noise80;Noise81;Noise82;Noise83;Noise84;Noise85;Noise86;Noise87;Noise88;Noise89;Noise90;Noise91;Noise92;Noise93;Noise94;Noise95;Noise96;Noise97;Noise98;Noise99;Noise100;Noise101;Noise102;Noise103;Noise104;Noise105;Noise106;Noise107;Noise108;Noise109;Noise110;Noise111;Noise112;Noise113;Noise114;Noise115;Noise116;Noise117;Noise118;Noise119;Noise120;Noise121;Noise122;Noise123;Noise124;Noise125;Noise126;Noise127;Noise128;Noise129;Noise130;Noise131;Noise132;Noise133;Noise134;Noise135;Noise136;Noise137;Noise138;Noise139;Noise140;Noise141;Noise142;Noise143;Noise144;Noise145;Noise146;Noise147;Noise148;Noise149;Noise150;Noise151;Noise152;Noise153;Noise154;Noise155;Noise156;Noise157;Noise158;Noise159;Noise160;Noise161;Noise162;Noise163;Noise164;Noise165;Noise166;Noise167;Noise168;Noise169;Noise170;Noise171;Noise172;Noise173;Noise174;Noise175;Noise176;Noise177;Noise178;Noise179;Noise180;Noise181;Noise182;Noise183;Noise184;Noise185;Noise186;Noise187;Noise188;Noise189;Noise190;Noise191;Noise192;Noise193;Noise194;Noise195;Noise196;Noise197" "faible" "equilibre" 200
"37" "GAMMA_BACK" 119 3 0.42 0.411167512690355 1 0.101811431316997 0.45 0.428571428571429 0.470588235294118 -0.100900919099447 0.550420168067227 0.571428571428571 0.529411764705882 0.49999991928129 0.470588235294118 0.428571428571429 0.549999994514292 257.239999999998 0.0499999999992724 0.00999999999839929 "x1;x2;x3;Noise1;Noise2;Noise3;Noise9;Noise14;Noise15;Noise17;Noise20;Noise22;Noise24;Noise25;Noise26;Noise28;Noise29;Noise31;Noise32;Noise33;Noise34;Noise38;Noise39;Noise40;Noise43;Noise44;Noise47;Noise48;Noise49;Noise50;Noise52;Noise55;Noise56;Noise57;Noise59;Noise60;Noise65;Noise67;Noise70;Noise72;Noise73;Noise74;Noise77;Noise78;Noise79;Noise81;Noise82;Noise83;Noise85;Noise87;Noise88;Noise89;Noise90;Noise92;Noise93;Noise94;Noise95;Noise97;Noise98;Noise99;Noise105;Noise106;Noise108;Noise110;Noise111;Noise112;Noise113;Noise114;Noise116;Noise119;Noise120;Noise121;Noise122;Noise124;Noise126;Noise127;Noise130;Noise132;Noise133;Noise135;Noise138;Noise139;Noise140;Noise142;Noise143;Noise145;Noise147;Noise148;Noise150;Noise155;Noise156;Noise157;Noise159;Noise160;Noise161;Noise163;Noise164;Noise166;Noise167;Noise168;Noise170;Noise171;Noise172;Noise174;Noise175;Noise176;Noise178;Noise180;Noise181;Noise184;Noise187;Noise188;Noise189;Noise190;Noise192;Noise193;Noise195;Noise196;Noise197" "faible" "equilibre" 200
"38" "GAMMA_BF" 15 3 0.94 0.939086294416244 1 0.433378886060741 0.74 0.795918367346939 0.686274509803922 0.484525141675717 0.74109643857543 0.755102040816326 0.823529411764706 0.282492015929676 0.686274509803922 0.795918367346939 0.259308454456309 35.380000000001 0.0299999999988358 0 "x1;x2;x3;Noise13;Noise32;Noise37;Noise67;Noise101;Noise108;Noise111;Noise119;Noise138;Noise150;Noise155;Noise197" "faible" "equilibre" 200
"39" "GAMMA_FORW" 15 3 0.94 0.939086294416244 1 0.433378886060741 0.74 0.795918367346939 0.686274509803922 0.484525141675717 0.74109643857543 0.755102040816326 0.823529411764706 0.282492015929676 0.686274509803922 0.795918367346939 0.259308454456309 21.2900000000009 0.0299999999988358 0 "x1;x2;x3;Noise13;Noise32;Noise37;Noise67;Noise101;Noise108;Noise111;Noise119;Noise138;Noise150;Noise155;Noise197" "faible" "equilibre" 200
"40" "LASSO" 6 3 0.985 0.984771573604061 1 0.701702064128381 0.81 0.816326530612245 0.803921568627451 0.620124037212404 0.810124049619848 0.897959183673469 0.764705882352941 0.591617327113621 0.803921568627451 0.816326530612245 0.223811238597237 2.27000000000044 0.0400000000008731 0 "x1;x2;x3;Noise133;Noise150;Noise163" "faible" "equilibre" 200
"41" "RFI" 1 1 0.99 1 0.333333333333333 0.57444168510062 0.77 0.795918367346939 0.745098039215686 0.541341438977985 0.770508203281313 0.816326530612245 0.745098039215686 0.534409353175607 0.745098039215686 0.795918367346939 0.299783494807286 0.659999999999854 0.0600000000013097 0.0100000000020373 "x2" "faible" "equilibre" 200
"42" "STEP" 10 3 0.965 0.964467005076142 1 0.537903431410177 0.8 0.775510204081633 0.823529411764706 0.600000771082727 0.799519807923169 0.775510204081633 0.843137254901961 2.50065921074826e-06 0.823529411764706 0.775510204081633 0.201197689369755 5.43000000000029 0.0499999999992724 0 "x2;x3;Noise133;x1;Noise17;Noise37;Noise20;Noise9;Noise161;Noise62" "faible" "equilibre" 200
"43" "SU" 1 1 0.99 1 0.333333333333333 0.57444168510062 0.77 0.795918367346939 0.745098039215686 0.541341438977985 0.770508203281313 0.816326530612245 0.745098039215686 0.534409353175607 0.745098039215686 0.795918367346939 0.299783494807286 0.540000000000873 0.0600000000013097 0.0200000000004366 "x2" "faible" "equilibre" 200
