"Approach" "NbVarSelected" "NbVarInf" "Accuracy_selection" "Specificity_selection" "Sensitivity_selection" "MCC_selection" "Accuracy_test" "Specificity_test" "Sensitivity_test" "MCC_test" "AUC" "YoudenSpe" "YoudenSe" "Youden" "TPR" "TNR" "MAE" "Runtime" "TrainingTime" "TestTime" "VarSelected" "Separation" "Repartition" "NbVar"
"11" "SVM-RFE" 21 1 0.89 0.898477157360406 0.333333333333333 0.0919159042081759 0.77 0.914634146341463 0.111111111111111 0.0345619682572362 0.512872628726287 0.75609756097561 0.555555555555556 7.82721586691917e-14 0.111111111111111 0.914634146341463 0.231492569962801 11.3899999999994 0.0299999999988358 0.0200000000040745 "Noise106;Noise108;Noise11;Noise115;Noise119;Noise129;Noise136;Noise146;Noise152;Noise169;Noise180;Noise26;Noise45;Noise47;Noise51;Noise59;Noise71;Noise75;Noise84;Noise9;x2" "faible" "desequilibre" 200
"12" "CFS" 1 1 0.99 1 0.333333333333333 0.57444168510062 0.86 0.963414634146341 0.388888888888889 0.451168645455973 0.676151761517615 0.74390243902439 0.944444444444444 0.179336504783385 0.388888888888889 0.963414634146341 0.194093083112911 0.889999999999418 0.0499999999956344 0 "x2" "faible" "desequilibre" 200
"13" "CHI2" 1 1 0.99 1 0.333333333333333 0.57444168510062 0.86 0.963414634146341 0.388888888888889 0.451168645455973 0.676151761517615 0.74390243902439 0.944444444444444 0.179336504783385 0.388888888888889 0.963414634146341 0.194093083112911 0.330000000001746 0.0600000000049477 0 "x2" "faible" "desequilibre" 200
"14" "FULL" 200 3 0.015 0 1 0 0.51 0.524390243902439 0.444444444444444 -0.0239898641788003 0.484417344173442 0.451219512195122 0.611111111111111 0.999910752188554 0.444444444444444 0.524390243902439 0.487481019336611 0 0.139999999999418 0.0800000000017462 "x1;x2;x3;Noise1;Noise2;Noise3;Noise4;Noise5;Noise6;Noise7;Noise8;Noise9;Noise10;Noise11;Noise12;Noise13;Noise14;Noise15;Noise16;Noise17;Noise18;Noise19;Noise20;Noise21;Noise22;Noise23;Noise24;Noise25;Noise26;Noise27;Noise28;Noise29;Noise30;Noise31;Noise32;Noise33;Noise34;Noise35;Noise36;Noise37;Noise38;Noise39;Noise40;Noise41;Noise42;Noise43;Noise44;Noise45;Noise46;Noise47;Noise48;Noise49;Noise50;Noise51;Noise52;Noise53;Noise54;Noise55;Noise56;Noise57;Noise58;Noise59;Noise60;Noise61;Noise62;Noise63;Noise64;Noise65;Noise66;Noise67;Noise68;Noise69;Noise70;Noise71;Noise72;Noise73;Noise74;Noise75;Noise76;Noise77;Noise78;Noise79;Noise80;Noise81;Noise82;Noise83;Noise84;Noise85;Noise86;Noise87;Noise88;Noise89;Noise90;Noise91;Noise92;Noise93;Noise94;Noise95;Noise96;Noise97;Noise98;Noise99;Noise100;Noise101;Noise102;Noise103;Noise104;Noise105;Noise106;Noise107;Noise108;Noise109;Noise110;Noise111;Noise112;Noise113;Noise114;Noise115;Noise116;Noise117;Noise118;Noise119;Noise120;Noise121;Noise122;Noise123;Noise124;Noise125;Noise126;Noise127;Noise128;Noise129;Noise130;Noise131;Noise132;Noise133;Noise134;Noise135;Noise136;Noise137;Noise138;Noise139;Noise140;Noise141;Noise142;Noise143;Noise144;Noise145;Noise146;Noise147;Noise148;Noise149;Noise150;Noise151;Noise152;Noise153;Noise154;Noise155;Noise156;Noise157;Noise158;Noise159;Noise160;Noise161;Noise162;Noise163;Noise164;Noise165;Noise166;Noise167;Noise168;Noise169;Noise170;Noise171;Noise172;Noise173;Noise174;Noise175;Noise176;Noise177;Noise178;Noise179;Noise180;Noise181;Noise182;Noise183;Noise184;Noise185;Noise186;Noise187;Noise188;Noise189;Noise190;Noise191;Noise192;Noise193;Noise194;Noise195;Noise196;Noise197" "faible" "desequilibre" 200
"15" "GAMMA_BACK" 87 2 0.57 0.568527918781726 0.666666666666667 0.0576663165674361 0.57 0.573170731707317 0.555555555555556 0.0994083397512468 0.564363143631436 0.695121951219512 0.5 0.999999999999511 0.555555555555556 0.573170731707317 0.432071772805278 284.779999999999 0.0299999999988358 0.0100000000020373 "x2;x3;Noise1;Noise2;Noise4;Noise6;Noise7;Noise10;Noise13;Noise16;Noise17;Noise18;Noise19;Noise21;Noise24;Noise25;Noise26;Noise28;Noise29;Noise30;Noise34;Noise37;Noise39;Noise42;Noise43;Noise44;Noise49;Noise50;Noise52;Noise54;Noise55;Noise57;Noise59;Noise60;Noise61;Noise63;Noise65;Noise67;Noise69;Noise70;Noise71;Noise75;Noise77;Noise79;Noise82;Noise85;Noise87;Noise88;Noise90;Noise94;Noise96;Noise103;Noise108;Noise109;Noise112;Noise116;Noise119;Noise122;Noise128;Noise130;Noise133;Noise135;Noise137;Noise138;Noise142;Noise143;Noise145;Noise147;Noise148;Noise151;Noise153;Noise154;Noise155;Noise160;Noise164;Noise173;Noise174;Noise176;Noise178;Noise181;Noise184;Noise185;Noise186;Noise187;Noise190;Noise191;Noise196" "faible" "desequilibre" 200
"16" "GAMMA_BF" 7 2 0.97 0.974619289340102 0.666666666666667 0.424148362838311 0.86 0.939024390243902 0.5 0.486092123186843 0.719512195121951 0.707317073170732 1 0.0884088157200978 0.5 0.939024390243902 0.17993635451929 12.1999999999971 0.0199999999967986 0 "x2;x3;Noise13;Noise15;Noise96;Noise100;Noise128" "faible" "desequilibre" 200
"17" "GAMMA_FORW" 7 2 0.97 0.974619289340102 0.666666666666667 0.424148362838311 0.86 0.939024390243902 0.5 0.486092123186843 0.719512195121951 0.707317073170732 1 0.0884088157200978 0.5 0.939024390243902 0.17993635451929 8.77999999999884 0.0400000000008731 0.0199999999967986 "x2;x3;Noise13;Noise15;Noise96;Noise100;Noise128" "faible" "desequilibre" 200
"18" "LASSO" 1 1 0.99 1 0.333333333333333 0.57444168510062 0.86 0.963414634146341 0.388888888888889 0.451168645455973 0.676151761517615 0.74390243902439 0.944444444444444 0.179336504783385 0.388888888888889 0.963414634146341 0.194093083112911 1.81999999999971 0.0199999999967986 0.0199999999967986 "x2" "faible" "desequilibre" 200
"19" "RFI" 1 1 0.99 1 0.333333333333333 0.57444168510062 0.86 0.963414634146341 0.388888888888889 0.451168645455973 0.676151761517615 0.74390243902439 0.944444444444444 0.179336504783385 0.388888888888889 0.963414634146341 0.194093083112911 0.450000000004366 0.0499999999956344 0 "x2" "faible" "desequilibre" 200
"20" "STEP" 8 2 0.965 0.969543147208122 0.666666666666667 0.394637632123571 0.82 0.865853658536585 0.611111111111111 0.442354896225236 0.738482384823848 0.865853658536585 0.611111111111111 0.49549599518459 0.611111111111111 0.865853658536585 0.180090036576509 3.83000000000175 0.0299999999988358 0 "x2;x3;Noise143;Noise57;Noise26;Noise28;Noise160;Noise14" "faible" "desequilibre" 200
